"seq_number","Site","Bio_repA.x","Bio_repB.x","Bio_repC.x","Bio_repA.y","Bio_repB.y","Bio_repC.y","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_114","Outside",1,1,1,1,1,1,0.832921686603231,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus"
"merged_fishcard_12S_all_115","Edge",2,2,1,2,2,1,0.964587826561259,""
"merged_fishcard_12S_all_115","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_115","Outside",2,2,3,2,2,3,0.993574640354125,""
"merged_fishcard_12S_all_117","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_117","MPA",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_117","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_12","Edge",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea"
"merged_fishcard_12S_all_12","MPA",3,2,2,3,2,2,0.993882714560078,"Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea"
"merged_fishcard_12S_all_12","Outside",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea"
"merged_fishcard_12S_all_121","Edge",NA,2,2,NA,2,2,0.955416521858118,"Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cheilotrema;Cheilotrema saturnum"
"merged_fishcard_12S_all_121","MPA",1,2,3,1,2,3,0.993248513398081,"Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cheilotrema;Cheilotrema saturnum"
"merged_fishcard_12S_all_121","Outside",2,2,2,2,2,2,0.96457767921247,"Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cheilotrema;Cheilotrema saturnum"
"merged_fishcard_12S_all_122","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_122","MPA",3,NA,2,3,NA,2,0.993044831347511,""
"merged_fishcard_12S_all_122","Outside",NA,3,1,NA,3,1,0.993080068673672,""
"merged_fishcard_12S_all_125","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_125","MPA",3,1,3,3,1,3,0.992410523685441,""
"merged_fishcard_12S_all_125","Outside",1,3,1,1,3,1,0.993399614841235,""
"merged_fishcard_12S_all_126","Edge",3,2,1,3,2,1,0.993158272948884,""
"merged_fishcard_12S_all_126","MPA",2,1,2,2,1,2,0.959834729939388,""
"merged_fishcard_12S_all_13","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_13","MPA",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_13","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_132","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_132","MPA",2,1,1,2,1,1,0.951235746985343,""
"merged_fishcard_12S_all_132","Outside",1,1,1,1,1,1,0.832921686603231,""
"merged_fishcard_12S_all_133","Edge",NA,1,2,NA,1,2,0.941920341468675,"Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Oxylebius;Oxylebius pictus"
"merged_fishcard_12S_all_134","Edge",NA,3,NA,NA,3,NA,0.988795301123611,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis"
"merged_fishcard_12S_all_14","Edge",2,NA,1,2,NA,1,0.954067009184348,"Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"merged_fishcard_12S_all_14","Outside",1,NA,2,1,NA,2,0.943849410606967,"Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"merged_fishcard_12S_all_140","Edge",2,2,3,2,2,3,0.993574640354125,""
"merged_fishcard_12S_all_140","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_140","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_141","Edge",2,1,1,2,1,1,0.951235746985343,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis"
"merged_fishcard_12S_all_141","Outside",1,2,1,1,2,1,0.952175227439511,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis"
"merged_fishcard_12S_all_145","Edge",1,2,2,1,2,2,0.959487355266571,""
"merged_fishcard_12S_all_145","MPA",1,NA,2,1,NA,2,0.943849410606967,""
"merged_fishcard_12S_all_145","Outside",1,1,2,1,1,2,0.960832267059461,""
"merged_fishcard_12S_all_146","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_146","MPA",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_146","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_147","MPA",NA,2,NA,NA,2,NA,0.924910876775914,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_150","Outside",NA,1,2,NA,1,2,0.941920341468675,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_152","Outside",1,1,2,1,1,2,0.960832267059461,"Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaenodes;Scorpaenodes xyris"
"merged_fishcard_12S_all_157","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_16","Outside",1,2,1,1,2,1,0.952175227439511,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"merged_fishcard_12S_all_162","Edge",3,2,3,3,2,3,0.996773921943271,""
"merged_fishcard_12S_all_162","MPA",3,1,3,3,1,3,0.992410523685441,""
"merged_fishcard_12S_all_162","Outside",NA,3,1,NA,3,1,0.993080068673672,""
"merged_fishcard_12S_all_169","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_169","MPA",3,1,2,3,1,2,0.990636308359107,""
"merged_fishcard_12S_all_17","Outside",NA,3,2,NA,3,2,0.992093798931961,""
"merged_fishcard_12S_all_172","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_172","MPA",3,NA,NA,3,NA,NA,0.990077333534513,""
"merged_fishcard_12S_all_172","Outside",1,3,NA,1,3,NA,0.99282241652178,""
"merged_fishcard_12S_all_177","Outside",NA,1,2,NA,1,2,0.941920341468675,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum"
"merged_fishcard_12S_all_179","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_18","Edge",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"merged_fishcard_12S_all_18","MPA",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"merged_fishcard_12S_all_18","Outside",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"merged_fishcard_12S_all_182","Edge",NA,NA,2,NA,NA,2,0.92083875248564,"Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;"
"merged_fishcard_12S_all_183","Edge",NA,2,1,NA,2,1,0.94287838132176,""
"merged_fishcard_12S_all_184","Edge",2,2,2,2,2,2,0.96457767921247,""
"merged_fishcard_12S_all_184","MPA",2,NA,1,2,NA,1,0.954067009184348,""
"merged_fishcard_12S_all_184","Outside",1,2,NA,1,2,NA,0.942589036086986,""
"merged_fishcard_12S_all_185","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_185","MPA",3,1,3,3,1,3,0.992410523685441,""
"merged_fishcard_12S_all_185","Outside",2,3,3,2,3,3,0.996885168275353,""
"merged_fishcard_12S_all_188","Edge",2,2,2,2,2,2,0.96457767921247,""
"merged_fishcard_12S_all_188","Outside",1,2,2,1,2,2,0.959487355266571,""
"merged_fishcard_12S_all_194","Edge",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_194","MPA",3,3,1,3,3,1,0.994481548722595,""
"merged_fishcard_12S_all_194","Outside",NA,1,3,NA,1,3,0.992874316311953,""
"merged_fishcard_12S_all_197","Edge",2,3,2,2,3,2,0.994750620061707,""
"merged_fishcard_12S_all_197","Outside",NA,2,1,NA,2,1,0.94287838132176,""
"merged_fishcard_12S_all_198","Edge",2,1,NA,2,1,NA,0.942242072652497,""
"merged_fishcard_12S_all_198","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_2","Edge",2,NA,1,2,NA,1,0.954067009184348,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_2","MPA",2,NA,2,2,NA,2,0.954757184208388,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_2","Outside",NA,2,3,NA,2,3,0.9923814647113,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_20","MPA",NA,1,2,NA,1,2,0.941920341468675,"Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax"
"merged_fishcard_12S_all_20","Outside",NA,1,2,NA,1,2,0.941920341468675,"Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax"
"merged_fishcard_12S_all_201","Edge",2,2,1,2,2,1,0.964587826561259,""
"merged_fishcard_12S_all_201","Outside",NA,1,2,NA,1,2,0.941920341468675,""
"merged_fishcard_12S_all_206","Edge",3,1,2,3,1,2,0.990636308359107,""
"merged_fishcard_12S_all_206","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_206","Outside",2,2,2,2,2,2,0.96457767921247,""
"merged_fishcard_12S_all_209","Outside",1,2,2,1,2,2,0.959487355266571,""
"merged_fishcard_12S_all_21","Edge",NA,2,1,NA,2,1,0.94287838132176,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_21","MPA",3,3,2,3,3,2,0.994292247228821,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_21","Outside",1,2,1,1,2,1,0.952175227439511,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_219","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_219","MPA",3,NA,1,3,NA,1,0.987455861530081,""
"merged_fishcard_12S_all_219","Outside",1,1,3,1,1,3,0.98622382684899,""
"merged_fishcard_12S_all_220","MPA",1,1,2,1,1,2,0.960832267059461,""
"merged_fishcard_12S_all_223","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_223","MPA",3,1,2,3,1,2,0.990636308359107,""
"merged_fishcard_12S_all_226","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_226","MPA",3,2,3,3,2,3,0.996773921943271,""
"merged_fishcard_12S_all_228","Edge",NA,2,2,NA,2,2,0.955416521858118,""
"merged_fishcard_12S_all_23","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_23","MPA",3,2,3,3,2,3,0.996773921943271,""
"merged_fishcard_12S_all_23","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_232","Edge",3,1,1,3,1,1,0.994364751683123,""
"merged_fishcard_12S_all_24","Edge",1,1,2,1,1,2,0.960832267059461,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi"
"merged_fishcard_12S_all_24","Outside",2,1,2,2,1,2,0.959834729939388,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi"
"merged_fishcard_12S_all_244","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_246","Edge",1,3,2,1,3,2,0.991821464907354,""
"merged_fishcard_12S_all_247","Outside",1,1,3,1,1,3,0.98622382684899,""
"merged_fishcard_12S_all_26","Edge",2,1,2,2,1,2,0.959834729939388,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca"
"merged_fishcard_12S_all_26","MPA",2,3,3,2,3,3,0.996885168275353,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca"
"merged_fishcard_12S_all_26","Outside",3,1,3,3,1,3,0.992410523685441,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca"
"merged_fishcard_12S_all_260","Edge",1,2,1,1,2,1,0.952175227439511,""
"merged_fishcard_12S_all_260","Outside",1,2,2,1,2,2,0.959487355266571,""
"merged_fishcard_12S_all_261","Edge",1,2,NA,1,2,NA,0.942589036086986,""
"merged_fishcard_12S_all_263","Edge",3,2,2,3,2,2,0.993882714560078,""
"merged_fishcard_12S_all_263","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_269","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_269","MPA",2,1,1,2,1,1,0.951235746985343,""
"merged_fishcard_12S_all_269","Outside",NA,NA,2,NA,NA,2,0.92083875248564,""
"merged_fishcard_12S_all_274","Outside",1,1,1,1,1,1,0.832921686603231,""
"merged_fishcard_12S_all_275","Outside",NA,1,3,NA,1,3,0.992874316311953,""
"merged_fishcard_12S_all_277","Edge",2,2,1,2,2,1,0.964587826561259,""
"merged_fishcard_12S_all_277","MPA",2,NA,1,2,NA,1,0.954067009184348,""
"merged_fishcard_12S_all_277","Outside",NA,1,2,NA,1,2,0.941920341468675,""
"merged_fishcard_12S_all_28","Edge",3,2,2,3,2,2,0.993882714560078,""
"merged_fishcard_12S_all_28","MPA",3,1,2,3,1,2,0.990636308359107,""
"merged_fishcard_12S_all_28","Outside",1,3,2,1,3,2,0.991821464907354,""
"merged_fishcard_12S_all_282","Edge",1,2,NA,1,2,NA,0.942589036086986,""
"merged_fishcard_12S_all_287","Outside",NA,1,2,NA,1,2,0.941920341468675,""
"merged_fishcard_12S_all_29","MPA",3,2,2,3,2,2,0.993882714560078,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"merged_fishcard_12S_all_29","Outside",1,NA,2,1,NA,2,0.943849410606967,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"merged_fishcard_12S_all_290","MPA",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_290","Outside",NA,NA,2,NA,NA,2,0.92083875248564,""
"merged_fishcard_12S_all_293","Outside",1,2,1,1,2,1,0.952175227439511,""
"merged_fishcard_12S_all_295","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_295","MPA",2,NA,1,2,NA,1,0.954067009184348,""
"merged_fishcard_12S_all_297","Edge",2,3,2,2,3,2,0.994750620061707,""
"merged_fishcard_12S_all_298","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_298","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_298","Outside",1,2,1,1,2,1,0.952175227439511,""
"merged_fishcard_12S_all_3","Edge",3,1,3,3,1,3,0.992410523685441,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_3","MPA",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_3","Outside",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_300","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_300","MPA",3,NA,1,3,NA,1,0.987455861530081,""
"merged_fishcard_12S_all_300","Outside",1,3,3,1,3,3,0.994209813542055,""
"merged_fishcard_12S_all_308","Edge",3,3,2,3,3,2,0.994292247228821,""
"merged_fishcard_12S_all_308","Outside",1,2,2,1,2,2,0.959487355266571,""
"merged_fishcard_12S_all_31","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_31","MPA",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_31","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_310","Edge",2,2,2,2,2,2,0.96457767921247,""
"merged_fishcard_12S_all_311","Outside",NA,1,3,NA,1,3,0.992874316311953,""
"merged_fishcard_12S_all_315","Edge",2,3,3,2,3,3,0.996885168275353,""
"merged_fishcard_12S_all_315","MPA",3,2,NA,3,2,NA,0.992094831143061,""
"merged_fishcard_12S_all_32","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_32","MPA",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_32","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_327","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_328","Outside",NA,2,2,NA,2,2,0.955416521858118,""
"merged_fishcard_12S_all_330","Edge",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_330","MPA",2,NA,1,2,NA,1,0.954067009184348,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_330","Outside",1,2,2,1,2,2,0.959487355266571,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_332","Edge",2,1,2,2,1,2,0.959834729939388,""
"merged_fishcard_12S_all_332","MPA",2,1,3,2,1,3,0.99194794020849,""
"merged_fishcard_12S_all_333","Edge",NA,2,NA,NA,2,NA,0.924910876775914,"Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;"
"merged_fishcard_12S_all_337","Edge",NA,2,2,NA,2,2,0.955416521858118,""
"merged_fishcard_12S_all_35","Outside",1,NA,2,1,NA,2,0.943849410606967,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis"
"merged_fishcard_12S_all_350","Edge",1,2,NA,1,2,NA,0.942589036086986,""
"merged_fishcard_12S_all_36","Edge",2,3,1,2,3,1,0.990765285862643,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"merged_fishcard_12S_all_36","MPA",1,2,2,1,2,2,0.959487355266571,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"merged_fishcard_12S_all_36","Outside",2,2,3,2,2,3,0.993574640354125,"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"merged_fishcard_12S_all_363","Edge",3,2,1,3,2,1,0.993158272948884,""
"merged_fishcard_12S_all_363","Outside",1,2,1,1,2,1,0.952175227439511,""
"merged_fishcard_12S_all_369","Outside",2,NA,NA,2,NA,NA,0.942760459461141,"Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri"
"merged_fishcard_12S_all_37","Outside",NA,NA,2,NA,NA,2,0.92083875248564,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_385","Edge",2,2,1,2,2,1,0.964587826561259,""
"merged_fishcard_12S_all_385","MPA",2,1,2,2,1,2,0.959834729939388,""
"merged_fishcard_12S_all_392","Edge",1,NA,2,1,NA,2,0.943849410606967,""
"merged_fishcard_12S_all_392","Outside",2,1,3,2,1,3,0.99194794020849,""
"merged_fishcard_12S_all_4","Edge",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_4","MPA",3,3,2,3,3,2,0.994292247228821,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_4","Outside",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_403","MPA",2,1,NA,2,1,NA,0.942242072652497,""
"merged_fishcard_12S_all_404","Edge",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_41","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_413","Edge",2,1,NA,2,1,NA,0.942242072652497,""
"merged_fishcard_12S_all_413","MPA",2,1,NA,2,1,NA,0.942242072652497,""
"merged_fishcard_12S_all_424","Edge",2,2,1,2,2,1,0.964587826561259,""
"merged_fishcard_12S_all_424","Outside",NA,3,NA,NA,3,NA,0.988795301123611,""
"merged_fishcard_12S_all_425","Edge",3,3,1,3,3,1,0.994481548722595,""
"merged_fishcard_12S_all_43","Outside",1,3,2,1,3,2,0.991821464907354,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi"
"merged_fishcard_12S_all_44","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_44","MPA",3,1,2,3,1,2,0.990636308359107,""
"merged_fishcard_12S_all_44","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_441","Edge",1,3,1,1,3,1,0.993399614841235,""
"merged_fishcard_12S_all_442","MPA",NA,NA,2,NA,NA,2,0.92083875248564,""
"merged_fishcard_12S_all_45","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_45","MPA",3,NA,2,3,NA,2,0.993044831347511,""
"merged_fishcard_12S_all_450","Edge",1,2,1,1,2,1,0.952175227439511,""
"merged_fishcard_12S_all_452","Outside",NA,NA,2,NA,NA,2,0.92083875248564,"Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci"
"merged_fishcard_12S_all_457","MPA",2,NA,NA,2,NA,NA,0.942760459461141,""
"merged_fishcard_12S_all_46","Outside",NA,1,2,NA,1,2,0.941920341468675,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_464","Edge",1,1,1,1,1,1,0.832921686603231,""
"merged_fishcard_12S_all_47","Edge",1,2,NA,1,2,NA,0.942589036086986,""
"merged_fishcard_12S_all_471","Edge",3,2,2,3,2,2,0.993882714560078,""
"merged_fishcard_12S_all_471","Outside",NA,3,3,NA,3,3,0.995390620409198,""
"merged_fishcard_12S_all_48","Edge",2,3,3,2,3,3,0.996885168275353,""
"merged_fishcard_12S_all_48","MPA",2,NA,2,2,NA,2,0.954757184208388,""
"merged_fishcard_12S_all_48","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_482","Edge",NA,2,NA,NA,2,NA,0.924910876775914,""
"merged_fishcard_12S_all_49","Outside",NA,2,3,NA,2,3,0.9923814647113,""
"merged_fishcard_12S_all_493","Edge",1,1,1,1,1,1,0.832921686603231,""
"merged_fishcard_12S_all_498","Outside",NA,NA,2,NA,NA,2,0.92083875248564,""
"merged_fishcard_12S_all_5","Edge",3,NA,2,3,NA,2,0.993044831347511,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_5","MPA",1,2,NA,1,2,NA,0.942589036086986,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
